paper_label,file,jump_name,status
H-1,Accounting.jl,H_1,coded_jump_macro
H-2,Accounting.jl,H_2,coded_jump_macro
H-3,Accounting.jl,H_3,coded_jump_macro
H-4,Accounting.jl,H_4,coded_jump_macro
H-5,Accounting.jl,H_5,coded_jump_macro
H-6,Accounting.jl,H_6,coded_jump_macro
H-7,Accounting.jl,H_7,coded_jump_macro
H-8,Accounting.jl,H_8,coded_jump_macro
H-9,Accounting.jl,H_9,coded_jump_macro
H-10,Accounting.jl,H_10,coded_jump_macro
H-11,Accounting.jl,H_11,coded_jump_macro
H-12,Accounting.jl,H_12,coded_jump_macro
H-13,Accounting.jl,H_13,coded_jump_macro
H-14,Accounting.jl,H_14,coded_jump_macro
H-15,Accounting.jl,H_15,coded_jump_macro
H-16,Accounting.jl,H_16,coded_jump_macro
H-17,Accounting.jl,H_17,coded_jump_macro
H-18,Accounting.jl,H_18,coded_jump_macro
H-19,Accounting.jl,H_19,coded_jump_macro
H-20,Accounting.jl,H_20,coded_jump_macro
H-21,Accounting.jl,H_21,coded_jump_macro
H-22,Accounting.jl,H_22,coded_jump_macro
H-23,Accounting.jl,H_23,coded_jump_macro
H-24,Accounting.jl,H_24,coded_jump_macro
H-25,Accounting.jl,H_25,coded_jump_macro
H-26,Accounting.jl,H_26,coded_jump_macro
H-27,Accounting.jl,H_27,coded_jump_macro
H-28,Accounting.jl,H_28,coded_jump_macro
H-29,Accounting.jl,H_29,coded_jump_macro
H-30,Accounting.jl,H_30,coded_jump_macro
H-31,Accounting.jl,H_31,coded_jump_macro
H-32,Accounting.jl,H_32,coded_jump_macro
H-33,Accounting.jl,H_33,coded_jump_macro
H-34,Accounting.jl,H_34,coded_jump_macro
H-35,Accounting.jl,H_35,coded_jump_macro
C-1,Closure.jl,C_1,coded_jump_macro
C-2,Closure.jl,C_2,coded_jump_macro
C-3,Closure.jl,C_3,coded_jump_macro
C-4,Closure.jl,C_4,coded_jump_macro
C-5,Closure.jl,C_5,coded_jump_macro
C-6,Closure.jl,C_6,coded_jump_macro
C-7,Closure.jl,C_7,coded_jump_macro
C-8,Closure.jl,C_8,coded_jump_macro
C-9,Closure.jl,C_9,coded_jump_macro
C-10,Closure.jl,C_10,coded_jump_macro
C-11,Closure.jl,C_11,coded_jump_macro
C-12,Closure.jl,C_12,coded_jump_macro
D-1,Demand.jl,D_1,coded_jump_macro
D-2,Demand.jl,D_2,coded_jump_macro
D-3,Demand.jl,D_3,coded_jump_macro
D-4,Demand.jl,D_4,coded_jump_macro
D-5,Demand.jl,D_5,coded_jump_macro
D-6,Demand.jl,D_6,coded_jump_macro
D-7,Demand.jl,D_7,coded_jump_macro
D-8,Demand.jl,D_8,coded_jump_macro
D-9,Demand.jl,D_9,coded_jump_macro
D-10,Demand.jl,D_10,coded_jump_macro
D-11,Demand.jl,D_11,coded_jump_macro
D-12,Demand.jl,D_12,coded_jump_macro
D-13,Demand.jl,D_13,coded_jump_macro
D-14,Demand.jl,D_14,coded_jump_macro
G-1,Dynamics.jl,G_1,coded_jump_macro
G-2,Dynamics.jl,G_2,coded_jump_macro
G-3,Dynamics.jl,G_3,coded_jump_macro
G-4,Dynamics.jl,G_4,coded_jump_macro
G-5,Dynamics.jl,G_5,coded_jump_macro
G-6,Dynamics.jl,G_6,coded_jump_macro
G-7,Dynamics.jl,G_7,coded_jump_macro
G-8,Dynamics.jl,G_8,coded_jump_macro
G-9,Dynamics.jl,G_9,coded_jump_macro
G-10,Dynamics.jl,G_10,coded_jump_macro
G-11,Dynamics.jl,G_11,coded_jump_macro
G-12,Dynamics.jl,G_12,coded_jump_macro
G-13,Dynamics.jl,G_13,coded_jump_macro
G-14,Dynamics.jl,G_14,coded_jump_macro
G-15,Dynamics.jl,G_15,coded_jump_macro
G-16,Dynamics.jl,G_16,coded_jump_macro
G-17,Dynamics.jl,G_17,coded_jump_macro
G-18,Dynamics.jl,G_18,coded_jump_macro
G-19,Dynamics.jl,G_19,coded_jump_macro
G-20,Dynamics.jl,G_20,coded_jump_macro
G-21,Dynamics.jl,G_21,coded_jump_macro
G-22,Dynamics.jl,G_22,coded_jump_macro
G-23,Dynamics.jl,G_23,coded_jump_macro
G-24,Dynamics.jl,G_24,coded_jump_macro
G-25,Dynamics.jl,G_25,coded_jump_macro
G-26,Dynamics.jl,G_26,coded_jump_macro
G-27,Dynamics.jl,G_27,coded_jump_macro
G-28,Dynamics.jl,G_28,coded_jump_macro
G-29,Dynamics.jl,G_29,coded_jump_macro
E-1,Equilibrium.jl,E_1,coded_jump_macro
E-2,Equilibrium.jl,E_2,coded_jump_macro
F-1,Factors.jl,F_1,coded_jump_macro
F-2,Factors.jl,F_2,coded_jump_macro
F-3,Factors.jl,F_3,coded_jump_macro
F-4,Factors.jl,F_4,coded_jump_macro
F-5,Factors.jl,F_5,coded_jump_macro
F-6,Factors.jl,F_6,coded_jump_macro
F-7,Factors.jl,F_7,coded_jump_macro
F-8,Factors.jl,F_8,coded_jump_macro
F-9,Factors.jl,F_9,coded_jump_macro
F-10,Factors.jl,F_10,coded_jump_macro
F-11,Factors.jl,F_11,coded_jump_macro
F-12,Factors.jl,F_12,coded_jump_macro
F-13,Factors.jl,F_13,coded_jump_macro
F-14,Factors.jl,F_14,coded_jump_macro
F-15,Factors.jl,F_15,coded_jump_macro
F-16,Factors.jl,F_16,coded_jump_macro
F-17,Factors.jl,F_17,coded_jump_macro
F-18,Factors.jl,F_18,coded_jump_macro
F-19,Factors.jl,F_19,coded_jump_macro
F-20,Factors.jl,F_20,coded_jump_macro
F-21,Factors.jl,F_21,coded_jump_macro
F-22,Factors.jl,F_22,coded_jump_macro
F-23,Factors.jl,F_23,coded_jump_macro
F-24,Factors.jl,F_24,coded_jump_macro
F-25,Factors.jl,F_25,coded_jump_macro
F-26,Factors.jl,F_26,coded_jump_macro
F-27,Factors.jl,F_27,coded_jump_macro
F-28,Factors.jl,F_28,coded_jump_macro
F-29,Factors.jl,F_29,coded_jump_macro
F-30,Factors.jl,F_30,coded_jump_macro
F-31,Factors.jl,F_31,coded_jump_macro
F-32,Factors.jl,F_32,coded_jump_macro
F-33,Factors.jl,F_33,coded_jump_macro
Y-1,Income.jl,Y_1,coded_jump_macro
Y-2,Income.jl,Y_2,coded_jump_macro
Y-3,Income.jl,Y_3,coded_jump_macro
Y-4,Income.jl,Y_4,coded_jump_macro
Y-5,Income.jl,Y_5,coded_jump_macro
Y-6,Income.jl,Y_6,coded_jump_macro
Y-7,Income.jl,Y_7,coded_jump_macro
Y-8,Income.jl,Y_8,coded_jump_macro
M-1,Other.jl,M_1,coded_jump_macro
M-2,Other.jl,M_2,coded_jump_macro
M-3,Other.jl,M_3,coded_jump_macro
M-4,Other.jl,M_4,coded_jump_macro
M-5,Other.jl,M_5,coded_jump_macro
P-1,Production.jl,P_1,coded_jump_macro
P-2,Production.jl,P_2,coded_jump_macro
P-3,Production.jl,P_3,coded_jump_macro
P-4,Production.jl,P_4,coded_jump_macro
P-5,Production.jl,P_5,coded_jump_macro
P-6,Production.jl,P_6,coded_jump_macro
P-7,Production.jl,P_7,coded_jump_macro
P-8,Production.jl,P_8,coded_jump_macro
P-9,Production.jl,P_9,coded_jump_macro
P-10,Production.jl,P_10,coded_jump_macro
P-11,Production.jl,P_11,coded_jump_macro
P-12,Production.jl,P_12,coded_jump_macro
P-13,Production.jl,P_13,coded_jump_macro
P-14,Production.jl,P_14,coded_jump_macro
P-15,Production.jl,P_15,coded_jump_macro
P-16,Production.jl,P_16,coded_jump_macro
P-17,Production.jl,P_17,coded_jump_macro
P-18,Production.jl,P_18,coded_jump_macro
P-19,Production.jl,P_19,coded_jump_macro
P-20,Production.jl,P_20,coded_jump_macro
P-21,Production.jl,P_21,coded_jump_macro
P-22,Production.jl,P_22,coded_jump_macro
P-23,Production.jl,P_23,coded_jump_macro
P-24,Production.jl,P_24,coded_jump_macro
P-25,Production.jl,P_25,coded_jump_macro
P-26,Production.jl,P_26,coded_jump_macro
P-27,Production.jl,P_27,coded_jump_macro
P-28,Production.jl,P_28,coded_jump_macro
P-29,Production.jl,P_29,coded_jump_macro
P-30,Production.jl,P_30,coded_jump_macro
P-31,Production.jl,P_31,coded_jump_macro
P-32,Production.jl,P_32,coded_jump_macro
P-33,Production.jl,P_33,coded_jump_macro
P-34,Production.jl,P_34,coded_jump_macro
P-35,Production.jl,P_35,coded_jump_macro
P-36,Production.jl,P_36,coded_jump_macro
P-37,Production.jl,P_37,coded_jump_macro
P-38,Production.jl,P_38,coded_jump_macro
P-39,Production.jl,P_39,coded_jump_macro
P-40,Production.jl,P_40,coded_jump_macro
P-41,Production.jl,P_41,coded_jump_macro
P-42,Production.jl,P_42,coded_jump_macro
P-43,Production.jl,P_43,coded_jump_macro
P-44,Production.jl,P_44,coded_jump_macro
P-45,Production.jl,P_45,coded_jump_macro
P-46,Production.jl,P_46,coded_jump_macro
P-47,Production.jl,P_47,coded_jump_macro
P-48,Production.jl,P_48,coded_jump_macro
P-49,Production.jl,P_49,coded_jump_macro
P-50,Production.jl,P_50,coded_jump_macro
P-51,Production.jl,P_51,coded_jump_macro
P-52,Production.jl,P_52,coded_jump_macro
P-53,Production.jl,P_53,coded_jump_macro
P-54,Production.jl,P_54,coded_jump_macro
P-55,Production.jl,P_55,coded_jump_macro
P-56,Production.jl,P_56,coded_jump_macro
P-57,Production.jl,P_57,coded_jump_macro
P-58,Production.jl,P_58,coded_jump_macro
P-59,Production.jl,P_59,coded_jump_macro
P-60,Production.jl,P_60,coded_jump_macro
P-61,Production.jl,P_61,coded_jump_macro
P-62,Production.jl,P_62,coded_jump_macro
P-63,Production.jl,P_63,coded_jump_macro
P-64,Production.jl,P_64,coded_jump_macro
P-65,Production.jl,P_65,coded_jump_macro
P-66,Production.jl,P_66,coded_jump_macro
P-67,Production.jl,P_67,coded_jump_macro
P-68,Production.jl,P_68,coded_jump_macro
P-69,Production.jl,P_69,coded_jump_macro
P-70,Production.jl,P_70,coded_jump_macro
P-71,Production.jl,P_71,coded_jump_macro
P-72,Production.jl,P_72,coded_jump_macro
P-73,Production.jl,P_73,coded_jump_macro
P-74,Production.jl,P_74,coded_jump_macro
P-75,Production.jl,P_75,coded_jump_macro
P-76,Production.jl,P_76,coded_jump_macro
P-77,Production.jl,P_77,coded_jump_macro
P-78,Production.jl,P_78,coded_jump_macro
P-79,Production.jl,P_79,coded_jump_macro
P-80,Production.jl,P_80,coded_jump_macro
T-1,Trade.jl,T_1,coded_jump_macro
T-2,Trade.jl,T_2,coded_jump_macro
T-3,Trade.jl,T_3,coded_jump_macro
T-4,Trade.jl,T_4,coded_jump_macro
T-5,Trade.jl,T_5,coded_jump_macro
T-6,Trade.jl,T_6,coded_jump_macro
T-7,Trade.jl,T_7,coded_jump_macro
T-8,Trade.jl,T_8,coded_jump_macro
T-9,Trade.jl,T_9,coded_jump_macro
T-10,Trade.jl,T_10,coded_jump_macro
T-11,Trade.jl,T_11,coded_jump_macro
T-12,Trade.jl,T_12,coded_jump_macro
T-13,Trade.jl,T_13,coded_jump_macro
T-14,Trade.jl,T_14,coded_jump_macro
T-15,Trade.jl,T_15,coded_jump_macro
T-16,Trade.jl,T_16,coded_jump_macro
T-17,Trade.jl,T_17,coded_jump_macro
T-18,Trade.jl,T_18,coded_jump_macro
T-19,Trade.jl,T_19,coded_jump_macro
T-20,Trade.jl,T_20,coded_jump_macro
T-21,Trade.jl,T_21,coded_jump_macro
T-22,Trade.jl,T_22,coded_jump_macro
T-23,Trade.jl,T_23,coded_jump_macro
T-24,Trade.jl,T_24,coded_jump_macro
T-25,Trade.jl,T_25,coded_jump_macro
T-26,Trade.jl,T_26,coded_jump_macro
T-27,Trade.jl,T_27,coded_jump_macro
T-28,Trade.jl,T_28,coded_jump_macro
T-29,Trade.jl,T_29,coded_jump_macro
T-30,Trade.jl,T_30,coded_jump_macro
T-31,Trade.jl,T_31,coded_jump_macro
T-32,Trade.jl,T_32,coded_jump_macro
T-33,Trade.jl,T_33,coded_jump_macro
T-34,Trade.jl,T_34,coded_jump_macro
