variable,count
AC,1
AEEI,1
AIDADSAlpha,1
AIDADSBeta,1
APMg,1
AVGW,1
AXMg,1
AlphaP,1
BudgetShare,1
CA,1
CDTax,1
CHIv,1
CMTax,1
CPI,1
ChiF,1
ChiL,1
ChiP,1
ChiT,1
D,1
DeltaC,1
DeprY,1
E,1
EVFA,1
EpsC,1
EtaC,1
EtaP,1
FDInv,1
FDTax,1
FMTax,1
FY,1
Fd,1
Fs,1
GDEF,1
GDP,1
GDPPC,1
GEXP,1
GOVDEM,1
GOVREV,1
GammaInv,1
HKT,1
HKTE,1
HKTEF,1
INVDEM,1
INVEST,1
INVK,1
K0,1
KActual,1
KF_d,1
KNorm,1
KS,1
KSs,1
KStock,1
KT,1
KTEL,1
KY,1
Kvd,1
LF_d,1
LS,1
LV,1
LY,1
LambdaAIDADS,1
LambdaEP,1
LambdaF,1
LambdaK,1
LambdaL,1
LambdaT,1
MIG,1
MIGR,1
MTAXREV,1
MargBudget,1
MuC,1
ND,1
NPT,1
NR,1
NW,1
Nfirm,1
OPEN,1
PA,1
PABS,1
PAp,1
PC,1
PD,1
PE,1
PET,1
PEp,1
PF,1
PGDP,1
PHKT,1
PHKTE,1
PHKTEF,1
PKT,1
PKTEL,1
PM,1
PMT,1
PND,1
PNUM,1
POP,1
PP,1
PQ,1
PROFIT,1
PS,1
PT,1
PTFD,1
PTLnd,1
PVA,1
PWE,1
PWM,1
PX,1
Pfeed,1
Pfert,1
PhiP,1
PopDyn,1
QINV,1
R,1
RGDP,1
RGDPMP,1
RMTAXREV,1
RR,1
SAV,1
SAVE,1
SLD,1
SW,1
SigmaC,1
TAXREV,1
TFD,1
TFP,1
TLnd,1
TR,1
TW,1
TY,1
Td,1
Ts,1
UE,1
ULD,1
UNEMP,1
UVC,1
UVCv,1
UW,1
VA,1
VDFA,1
VDFM,1
VIFA,1
VIFM,1
W,1
WALRAS,1
WMIN,1
WTOUT,1
XA,1
XAp,1
XD,1
XDc,1
XDf,1
XDp,1
XEp,1
XH,1
XM,1
XMT,1
XMc,1
XMf,1
XMgr,1
XMp,1
XP,1
XPv,1
XQ,1
XW,1
XiC,1
YC,1
YD,1
YH,1
end,1
feed,1
fert,1
